ds,NIFTY50,BANK,IT,VIX
2017-10-27,10323.0498046875,24839.55078125,10862.0498046875,11.479999542236328
2017-10-30,10363.650390625,24988.55078125,10854.2998046875,12.109999656677246
2017-10-31,10335.2998046875,25019.349609375,10837.900390625,12.4399995803833
2017-11-01,10440.5,25490.44921875,10817.2998046875,12.140000343322754
2017-11-02,10423.7998046875,25427.30078125,10845.849609375,12.010000228881836
2017-11-03,10452.5,25650.69921875,10839.0498046875,11.90999984741211
2017-11-06,10451.7998046875,25571.150390625,10929.900390625,13.020000457763672
2017-11-07,10350.150390625,25300.80078125,11172.099609375,13.239999771118164
2017-11-08,10303.150390625,25184.349609375,11245.900390625,13.609999656677246
2017-11-09,10308.9501953125,25291.349609375,11248.4501953125,13.270000457763672
2017-11-10,10321.75,25498.94921875,11222.5498046875,13.479999542236328
2017-11-13,10224.9501953125,25358.30078125,11236.2001953125,14.050000190734863
2017-11-14,10186.599609375,25284.599609375,11168.75,14.170000076293945
2017-11-15,10118.0498046875,25218.900390625,11122.900390625,14.270000457763672
2017-11-16,10214.75,25446.599609375,11317.25,13.460000038146973
2017-11-17,10283.599609375,25728.400390625,11150.0,13.710000038146973
2017-11-20,10298.75,25768.599609375,11100.099609375,13.430000305175781
2017-11-21,10326.900390625,25757.5,11119.4501953125,13.720000267028809
2017-11-22,10342.2998046875,25766.650390625,11117.5,14.039999961853027
2017-11-23,10348.75,25736.25,11230.599609375,13.869999885559082
2017-11-24,10389.7001953125,25779.650390625,11306.400390625,13.510000228881836
2017-11-27,10399.5498046875,25891.94921875,11314.25,13.029999732971191
2017-11-28,10370.25,25846.400390625,11270.599609375,13.149999618530273
2017-11-29,10361.2998046875,25795.69921875,11232.9501953125,13.0600004196167
2017-11-30,10226.5498046875,25332.400390625,11115.349609375,13.550000190734863
2017-12-01,10121.7998046875,25191.94921875,10948.5,14.800000190734863
2017-12-04,10127.75,25075.099609375,11081.650390625,14.859999656677246
2017-12-05,10118.25,25124.849609375,11025.400390625,15.010000228881836
2017-12-06,10044.099609375,24851.80078125,11074.900390625,15.09000015258789
2017-12-07,10166.7001953125,25057.25,11163.5,14.270000457763672
2017-12-08,10265.650390625,25321.150390625,11173.400390625,13.670000076293945
2017-12-11,10322.25,25404.849609375,11324.0,14.149999618530273
2017-12-12,10240.150390625,25125.44921875,11272.4501953125,15.260000228881836
2017-12-13,10192.9501953125,25000.349609375,11251.7001953125,15.949999809265137
2017-12-14,10252.099609375,25168.19921875,11275.400390625,16.40999984741211
2017-12-15,10333.25,25440.30078125,11288.2998046875,14.9399995803833
2017-12-18,10388.75,25594.55078125,11315.2001953125,13.119999885559082
2017-12-19,10463.2001953125,25716.19921875,11240.650390625,12.1899995803833
2017-12-20,10444.2001953125,25591.69921875,11304.2001953125,12.1899995803833
2017-12-21,10440.2998046875,25554.30078125,11374.2998046875,12.09000015258789
2017-12-22,10493.0,25648.55078125,11501.900390625,11.59000015258789
2017-12-26,10531.5,25675.25,11507.400390625,12.050000190734863
2017-12-27,10490.75,25496.05078125,11509.25,12.489999771118164
2017-12-28,10477.900390625,25490.0,11496.400390625,12.300000190734863
2017-12-29,10530.7001953125,25539.44921875,11665.75,12.670000076293945
2018-01-02,10442.2001953125,25338.25,11602.349609375,13.6899995803833
2018-01-03,10443.2001953125,25318.599609375,11586.7001953125,13.619999885559082
2018-01-04,10504.7998046875,25462.599609375,11590.7998046875,13.420000076293945
2018-01-05,10558.849609375,25601.849609375,11633.5498046875,13.109999656677246
2018-01-08,10623.599609375,25676.099609375,11776.849609375,13.739999771118164
2018-01-09,10637.0,25703.80078125,11790.849609375,13.850000381469727
2018-01-10,10632.2001953125,25617.30078125,12054.7001953125,14.039999961853027
2018-01-11,10651.2001953125,25660.900390625,12103.099609375,14.010000228881836
2018-01-12,10681.25,25749.05078125,12099.2001953125,13.729999542236328
2018-01-15,10741.5498046875,26069.19921875,11992.7998046875,14.3100004196167
2018-01-16,10700.4501953125,25974.900390625,12430.9501953125,14.09000015258789
2018-01-17,10788.5498046875,26289.099609375,12531.400390625,13.859999656677246
2018-01-18,10817.0,26537.400390625,12570.7001953125,13.960000038146973
2018-01-19,10894.7001953125,26909.5,12633.849609375,13.979999542236328
2018-01-22,10966.2001953125,27041.19921875,12894.9501953125,15.390000343322754
2018-01-23,11083.7001953125,27390.599609375,13048.900390625,16.229999542236328
2018-01-24,11086.0,27398.55078125,13249.5498046875,18.040000915527344
2018-01-25,11069.650390625,27445.650390625,13117.849609375,17.510000228881836
2018-01-29,11130.400390625,27498.44921875,13242.5,17.889999389648438
2018-01-30,11049.650390625,27269.05078125,13107.9501953125,16.420000076293945
2018-01-31,11027.7001953125,27379.44921875,12986.400390625,15.930000305175781
2018-02-01,11016.900390625,27220.69921875,12964.599609375,14.109999656677246
2018-02-02,10760.599609375,26451.150390625,12983.599609375,15.25
2018-02-05,10666.5498046875,26098.75,12936.900390625,16.049999237060547
2018-02-06,10498.25,25811.30078125,12562.349609375,20.020000457763672
2018-02-07,10476.7001953125,25670.0,12450.0498046875,19.469999313354492
2018-02-08,10576.849609375,25920.650390625,12588.349609375,17.770000457763672
2018-02-09,10454.9501953125,25463.650390625,12492.7001953125,19.229999542236328
2018-02-12,10539.75,25701.599609375,12422.650390625,17.8799991607666
2018-02-14,10500.900390625,25341.25,12420.0,17.18000030517578
2018-02-15,10545.5,25424.349609375,12456.5,16.31999969482422
2018-02-16,10452.2998046875,25163.900390625,12437.9501953125,16.3799991607666
2018-02-19,10378.400390625,25058.55078125,12331.400390625,16.670000076293945
2018-02-20,10360.400390625,24874.400390625,12372.0,16.8700008392334
2018-02-21,10397.4501953125,24936.69921875,12660.0498046875,15.920000076293945
2018-02-22,10382.7001953125,24955.19921875,12730.25,14.829999923706055
2018-02-23,10491.0498046875,25302.5,12871.150390625,14.199999809265137
2018-02-26,10582.599609375,25687.900390625,12713.150390625,13.699999809265137
2018-02-27,10554.2998046875,25383.599609375,12746.7998046875,13.920000076293945
2018-02-28,10492.849609375,25107.400390625,12809.0,13.8100004196167
2018-03-01,10458.349609375,24902.55078125,12769.4501953125,14.069999694824219
2018-03-05,10358.849609375,24818.69921875,12857.650390625,15.399999618530273
2018-03-06,10249.25,24448.44921875,12706.099609375,16.25
2018-03-07,10154.2001953125,24134.099609375,12677.150390625,15.699999809265137
2018-03-08,10242.650390625,24477.650390625,12682.400390625,14.59000015258789
2018-03-09,10226.849609375,24296.44921875,12747.25,14.529999732971191
2018-03-12,10421.400390625,24664.19921875,12923.400390625,14.489999771118164
2018-03-13,10426.849609375,24738.650390625,12734.2001953125,14.460000038146973
2018-03-14,10410.900390625,24851.650390625,12786.9501953125,14.359999656677246
2018-03-15,10360.150390625,24791.849609375,12762.2998046875,14.329999923706055
2018-03-16,10195.150390625,24489.55078125,12698.400390625,15.220000267028809
2018-03-19,10094.25,24245.099609375,12421.2998046875,15.819999694824219
